ClienteID,Nombre,Email,FechaNacimiento,Genero
1,Gregory Pruitt,kenneth41@davis.biz,1960-11-14,F
2,Brandi Bryant,qstanton@gmail.com,1990-07-18,M
3,Thomas Wells,vallen@adams.biz,2000-03-22,F
4,Cody Moran,phelpsdanny@hotmail.com,1976-07-03,M
5,Mike Porter,harrisjulie@hotmail.com,1984-02-09,F
6,Michael Roy,derekjohnson@steele-mccoy.com,1989-09-04,M
7,Ms. Melissa Fischer,lauren95@kirby.net,1977-07-06,M
8,Robin Robinson,simmonsmark@gmail.com,1979-11-20,F
9,Danielle Moody,allisontrevor@skinner-sosa.com,1972-05-24,M
10,Michael Lee,debramitchell@hotmail.com,1984-08-26,F
11,Kelly Clark,gillwilliam@byrd.org,1989-12-24,F
12,Isabel Chen,gordonthomas@yahoo.com,2006-03-18,F
13,Anna Sutton,troy44@williamson.com,1970-09-01,M
14,Emma Andrade,dsnow@salas.com,1995-01-20,F
15,Ryan Richmond,hardyangela@jensen.biz,1959-05-10,M
16,Natalie Krause,francis55@yahoo.com,1989-10-10,F
17,Rachel Werner,icarter@gmail.com,1994-12-12,F
18,Gregory Whitney,fturner@mclaughlin-flores.net,1969-07-16,M
19,Brandi Smith,jessebell@hotmail.com,2002-11-27,M
20,Michael Perez,monique39@young.com,1963-09-15,F
21,Rebecca Solis,cooklisa@gmail.com,2005-11-28,M
22,Susan Marshall,shanestephens@yahoo.com,1957-10-11,F
23,Angela Miller,kingamy@wilson-jimenez.biz,1976-01-06,M
24,Cynthia Patel,simpsonjessica@hotmail.com,1971-09-18,F
25,Nathan Lee,jaimemorris@klein-jenkins.info,1989-09-03,M
26,Adam Stone,middletondebbie@hotmail.com,1964-05-03,F
27,Christopher Moran,vtaylor@gmail.com,2000-02-02,F
28,Travis Davis,rogersrobert@gmail.com,2001-12-02,M
29,Christopher Fisher,ryan18@franco-jones.com,1973-12-24,F
30,Regina Montoya,maysrebecca@gomez.com,2002-09-27,M
31,Kimberly Sullivan,scottpatrick@livingston.net,1982-08-18,F
32,Benjamin Barker,andersonashley@yahoo.com,2001-05-27,F
33,James Cuevas,wcarter@yahoo.com,1978-12-16,F
34,Ronald Bruce,anthonymills@yahoo.com,1956-09-12,F
35,Christy Johnston,qmiller@gmail.com,1971-02-25,F
36,Ann Lopez,acurry@lopez.com,1975-01-18,F
37,Christine Smith,qdouglas@ellison.com,1995-12-28,M
38,Corey Gilmore,browndavid@griffin-thornton.com,1972-09-01,M
39,Jonathan Martinez,maxwelldustin@hotmail.com,1959-02-01,M
40,Carrie Brown,tina76@yahoo.com,1955-11-15,F
41,Kimberly Cooper,amelton@avery.com,1999-08-31,F
42,Daniel Phillips,ashleydominguez@gmail.com,1986-04-03,F
43,Gabriel Escobar,akennedy@long.biz,1955-06-20,F
44,Tyler Nelson,josephlandry@yahoo.com,2001-02-16,F
